State_of_Country,Market_Category,Product_Category,Grade,Low_Cap_Price,High_Cap_Price
21,445,0,0,2644,3955
21,156,0,0,4307,6081
21,448,14,0,3414,4358
21,24,10,0,3523,4806
21,452,0,0,3875,5683
21,470,1,0,581,1003
0,3,0,0,2158,3633
0,250,0,2,4760,6580
0,1,0,0,1530,4123
0,15,0,2,1771,5863
0,283,1,0,1975,2601
0,320,0,0,1553,4987
11,16,0,0,3761,6469
2,350,1,1,4006,6725
2,457,1,3,4743,10389
4,458,10,0,5133,6983
4,459,0,0,6778,9862
17,358,0,3,3073,15082
17,13,0,3,338,2339
17,11,0,3,488,1089
18,23,11,2,5843,12123
18,23,12,2,6304,12388
20,55,0,0,4183,5191
20,104,13,0,1188,6154
20,403,0,0,2658,3546
3,416,1,2,2560,5325
3,423,15,0,3267,7931
21,443,0,0,3897,5452
21,167,0,0,4132,6442
21,24,10,0,3465,5235
21,468,1,2,4307,5261
21,452,0,0,3766,5670
21,205,10,0,2938,4037
5,471,0,1,1884,3285
22,227,0,0,521,838
0,1,0,0,2054,2875
0,15,0,2,2218,6787
0,283,1,0,2932,6187
0,436,0,0,2066,3851
0,320,0,0,1728,4759
8,35,16,2,1128,3097
17,358,0,3,5567,14116
19,44,13,1,6331,11450
20,55,0,0,3739,4626
20,124,0,0,3474,4499
3,416,1,2,2640,5594
3,423,15,0,3341,8126
3,430,1,2,3335,5246
21,437,0,0,4353,6148
21,441,10,2,3574,4648
21,443,0,0,4005,5506
21,14,0,0,3278,4593
21,162,0,1,4023,5777
21,446,10,0,4706,6595
21,24,10,0,3476,4839
21,449,0,0,3162,4951
21,452,0,0,4162,5421
0,3,0,0,2455,3883
0,250,0,2,4034,5884
0,1,0,0,2462,8711
0,301,1,0,2297,3314
0,283,1,0,2371,6303
0,436,0,0,1937,3771
0,315,10,2,1448,6247
0,320,0,0,1406,4383
1,7,1,0,2994,4839
11,16,0,0,4325,6359
4,36,0,1,11025,15126
4,36,0,0,8250,12361
17,13,0,3,393,2721
17,11,0,3,469,671
20,55,0,0,3788,5364
20,73,0,0,1133,1608
20,104,13,0,1518,6504
20,22,0,2,2837,4859
20,124,0,0,3081,4515
21,437,0,0,3977,6322
21,441,10,2,3756,4762
21,37,1,0,4051,5165
21,443,0,0,4005,5844
21,448,14,0,3625,4963
21,24,10,0,3550,4988
21,470,1,0,2723,3914
23,31,0,1,5660,9617
0,1,0,0,1622,2326
0,256,0,0,2364,12470
0,275,0,0,2912,3948
0,301,1,0,2462,3002
0,283,1,0,1891,5090
0,294,0,2,2523,6022
0,436,0,0,1822,3741
4,458,10,0,5654,7942
17,462,0,3,3538,7064
17,358,0,3,5753,14282
17,13,0,3,519,2398
17,10,15,3,856,1639
20,55,0,0,2930,4717
20,407,0,0,2723,4479
21,443,0,0,4425,5712
21,162,0,1,3861,5258
21,452,0,0,3959,5307
21,470,1,0,2958,4046
21,220,12,0,3318,4792
5,471,0,1,2057,3165
0,3,0,0,2357,3570
0,32,0,2,4275,6329
0,15,0,2,1013,1376
0,283,1,0,2608,6071
0,367,0,0,2449,5229
20,22,0,0,3603,5626
21,443,0,0,4191,5971
21,445,0,0,2706,4217
0,0,0,0,2099,3958
0,250,0,2,4273,5901
0,1,0,0,2929,5777
0,235,0,2,3132,6194
0,15,0,2,2107,6666
0,26,1,2,1932,2981
1,455,0,0,3191,6074
1,342,0,0,1258,3581
11,16,0,0,4301,6250
8,35,16,2,1072,3774
8,35,17,2,1426,3451
8,35,12,2,6607,12936
17,9,0,3,6154,12822
17,13,0,3,567,2560
17,39,0,3,2978,5626
20,55,0,0,3815,5500
20,40,0,0,3396,6285
20,73,0,0,1188,1438
20,114,14,0,1962,4253
20,407,0,0,3027,4410
3,41,0,0,5717,12534
21,437,0,0,4338,5781
21,443,0,0,4425,5921
21,445,0,0,2941,4138
21,446,10,0,4468,6779
21,452,0,0,3700,5616
21,469,0,0,4687,6151
21,220,12,0,3460,4713
0,454,1,0,2621,5024
0,15,0,2,2192,6805
0,283,1,0,2233,5756
11,2,0,1,5059,8789
17,358,0,3,2935,14224
17,39,0,3,3166,5894
17,11,0,3,471,911
20,55,0,0,2865,4073
20,40,0,0,4383,5412
20,403,0,0,2683,3490
20,407,0,0,2782,4964
3,416,1,2,2735,5772
3,423,15,0,2854,7850
21,441,10,2,3750,5019
21,141,0,0,3777,5251
21,162,0,1,3573,5539
21,468,1,2,4159,5316
21,188,10,0,3817,5173
21,470,1,0,2676,4149
0,3,0,0,2380,5074
0,283,1,0,2350,5862
4,458,10,0,6416,8763
4,459,0,0,6400,9439
17,9,0,3,5031,13343
17,358,0,3,2630,12395
17,11,0,3,669,961
20,55,0,0,2261,6023
3,423,15,0,3213,7979
21,441,10,2,3354,4760
21,445,0,0,2985,4502
21,24,10,0,3911,4905
21,468,1,2,3896,5290
21,452,0,0,4068,5330
0,256,0,0,4225,7548
0,15,0,2,1662,6300
0,301,1,0,2353,3152
0,367,0,0,2504,5491
2,350,1,1,3454,6928
8,35,16,2,1120,3470
8,35,10,2,1891,7346
8,35,12,2,6394,13542
17,10,15,3,754,1254
20,55,0,0,4302,6151
3,423,15,0,3157,7563
21,141,0,0,3453,5001
21,14,0,0,3295,4992
21,446,10,0,4833,7071
21,24,10,0,3657,4864
21,449,0,0,3490,4913
21,452,0,0,3784,5255
21,469,0,0,4417,5490
0,0,0,0,3202,4820
0,3,0,0,2560,4472
0,235,0,2,3166,5807
0,301,1,0,1721,2885
0,283,1,0,2734,3507
0,450,0,0,2976,4145
11,16,0,0,3377,5653
2,350,1,1,3934,6436
17,13,0,3,455,2213
20,55,0,0,4325,6187
20,124,0,0,2753,3718
20,403,0,0,2666,3708
20,407,0,0,3110,4853
3,423,15,0,3299,7884
21,437,0,0,4105,6165
21,141,0,0,3513,4858
21,443,0,0,4335,5613
21,444,0,1,4103,5842
21,448,14,0,3677,5585
21,24,10,0,3633,4906
21,452,0,0,4120,5518
21,469,0,0,4319,6116
21,198,0,0,4021,5311
0,454,1,0,2341,4995
0,283,1,0,2367,4798
0,294,0,2,2379,6197
0,48,14,2,1979,2695
4,458,10,0,5480,8501
17,358,0,3,3273,14835
17,39,0,3,3278,8435
18,23,16,2,1109,3403
18,23,11,2,5870,12286
18,23,12,2,7189,12958
20,55,0,0,4185,5225
3,416,1,2,2585,5651
21,437,0,0,4031,6111
21,441,10,2,3416,5269
21,141,0,0,3559,4838
21,14,0,0,3582,5288
21,24,10,0,3312,4748
21,452,0,0,4116,5222
21,469,0,0,4355,5858
21,198,0,2,3640,5566
0,0,0,0,2852,4195
0,1,0,0,2164,4113
0,235,0,2,2769,5554
0,283,1,0,2220,4666
17,358,0,3,4508,14122
20,55,0,0,3927,5651
21,443,0,0,4287,5632
21,165,0,0,2456,3870
21,448,14,0,4007,6333
21,205,10,0,2767,4388
0,103,0,1,6744,9915
0,103,0,0,6281,9126
0,275,0,0,2662,3555
17,358,0,3,3602,13582
17,13,0,3,478,2630
17,363,0,3,518,1181
18,23,16,2,1121,3137
18,23,10,2,1879,6011
18,23,12,2,6725,11756
20,55,0,0,4058,5530
20,104,13,0,1306,4523
20,403,0,0,2409,3529
21,445,0,0,3023,4508
21,14,0,0,3645,4769
21,446,10,0,4940,6699
21,468,1,2,3797,5169
21,452,0,0,4100,5361
21,469,0,0,4512,6117
21,198,0,2,3816,5225
0,0,0,0,2219,4873
0,3,0,0,2413,5414
0,1,0,0,2614,4891
0,43,0,2,3855,4936
17,9,0,3,6643,12218
17,358,0,3,4548,14017
17,11,0,3,360,1068
20,55,0,0,4036,5427
21,445,0,0,2934,3890
21,165,0,0,2625,3883
21,452,0,0,3889,5846
0,0,0,0,2585,4377
0,268,0,2,2165,8274
0,275,0,0,2730,4049
0,294,0,2,2168,5344
6,28,10,0,5306,9334
4,458,10,0,5166,8219
17,358,0,3,2758,12989
18,23,12,2,6016,12106
20,55,0,0,4376,5178
21,441,10,2,3393,5009
21,167,0,0,4069,6244
21,468,1,2,3989,5707
21,453,10,0,5192,7321
22,227,0,0,602,759
0,1,0,0,2459,7692
0,235,0,2,3088,5900
0,450,0,0,2376,3958
17,368,15,3,8285,12753
18,23,10,2,1794,6373
18,23,12,2,5721,11465
20,55,0,0,3865,6272
20,40,0,0,4421,6151
20,73,0,0,992,1402
20,104,13,0,1887,5376
20,397,13,0,2929,6718
20,403,0,0,2468,3901
21,14,0,0,3935,7322
21,447,0,0,3119,4101
21,448,14,0,4242,6748
21,453,10,0,5100,6559
0,0,0,0,2212,4123
0,250,0,0,3817,6206
0,1,0,0,1968,7545
0,26,1,2,1978,2975
20,55,0,0,3559,4771
20,124,0,0,3292,4587
21,447,0,0,3065,4239
0,3,0,0,2839,6179
0,250,0,0,1746,5803
0,283,1,0,2349,4708
0,450,0,0,1129,4179
1,326,1,0,3837,5412
4,20,16,0,8501,13189
4,458,10,0,5858,8014
17,358,0,3,3205,14174
17,11,0,3,588,968
18,23,10,2,1832,4236
18,23,12,2,5755,12458
20,55,0,0,3995,5063
20,403,0,0,2595,3864
21,141,0,0,3546,4836
21,37,1,0,3766,5056
21,447,0,0,2975,4208
21,449,0,0,3590,4975
21,452,0,0,4138,5721
21,198,0,2,4095,5119
21,453,10,0,4953,6836
0,0,0,0,2307,4013
0,3,0,0,2529,5120
0,1,0,0,3016,4822
17,358,0,3,7584,14188
21,141,0,0,3990,4941
21,149,12,0,5615,7059
21,449,0,0,3564,5397
21,205,10,0,3043,4468
0,250,0,0,3801,6159
20,55,0,0,4023,5801
20,407,0,0,2266,4127
3,423,15,0,3157,7694
21,165,0,0,2614,4378
21,446,10,0,5126,6833
21,448,14,0,4325,6444
21,167,0,0,4454,6442
21,452,0,0,3814,5733
0,250,0,0,2147,5865
0,1,0,0,2436,6867
0,52,0,2,5912,7890
0,283,1,0,2323,5187
17,358,0,3,3911,12854
20,55,0,0,3829,6083
20,397,13,0,3245,7017
20,124,0,0,3176,4231
20,403,0,0,2701,3616
21,437,0,0,4081,5943
21,441,10,2,3885,4841
21,447,0,0,3334,4229
21,452,0,0,4119,5552
0,0,0,0,2273,3782
17,358,0,3,3478,13836
20,94,0,0,1374,9755
3,423,15,0,3560,7890
21,437,0,0,4079,5732
21,141,0,0,3689,5009
21,443,0,0,4289,6347
21,452,0,0,4186,5541
21,469,0,0,4259,6200
0,0,0,0,2106,4239
0,1,0,0,2358,7068
0,103,0,1,7482,11578
0,268,0,2,2163,8997
17,358,0,3,3406,14707
18,23,10,2,1987,5221
20,55,0,0,3897,5100
20,94,0,2,1737,6517
20,124,0,0,1752,2758
3,423,15,0,3432,7592
21,441,10,2,3652,5237
21,14,0,0,4371,5618
21,447,0,0,3213,4075
21,167,0,0,4779,6520
21,469,0,0,4470,6302
0,0,0,0,2227,4030
0,1,0,0,2118,8744
0,268,0,2,2640,4769
0,15,0,2,2624,6263
0,18,0,2,5829,8310
0,283,1,0,2146,5985
0,450,0,0,2773,4281
4,17,15,0,8941,13323
20,55,0,0,4065,5515
20,124,0,0,1844,2768
20,403,0,0,2607,3745
21,447,0,0,2976,4091
21,448,14,0,4844,6953
21,167,0,0,4476,6665
21,449,0,0,3579,5253
21,188,10,0,3956,5807
0,1,0,0,2862,8197
0,283,1,0,2779,5023
0,320,0,0,2335,5746
4,458,16,0,9056,15003
4,458,10,0,5942,8625
17,358,0,3,3513,14987
20,53,0,0,1933,2859
20,55,0,0,4633,6007
3,423,15,0,3778,7173
21,141,0,0,3706,5054
21,447,0,0,2906,4515
21,167,0,0,3857,6519
21,452,0,0,3920,5652
21,469,0,0,4458,6404
0,283,1,0,1864,7892
17,358,0,3,3694,13810
20,55,0,0,3903,5383
21,141,0,0,3849,4835
21,443,0,0,4168,5864
21,167,0,0,4731,5893
21,469,0,0,4571,6439
23,57,0,0,2809,6197
23,236,0,0,1266,8600
0,320,0,0,1991,5750
17,358,0,3,3344,14513
17,38,0,3,2629,5886
18,23,12,2,6432,13666
20,55,0,0,4171,5249
20,73,0,0,1194,1427
3,430,1,2,3394,4692
21,162,0,1,4069,6136
21,447,0,0,3146,4566
0,3,0,0,2652,5191
0,454,1,0,2666,5294
0,283,1,0,2003,6520
17,358,0,3,4261,14363
17,11,0,3,388,1356
18,23,10,2,2323,6293
20,124,0,0,2047,2809
21,437,0,0,4479,6284
21,441,10,2,3818,5090
21,162,0,1,4604,5729
21,447,0,0,3343,4626
23,57,0,0,2796,7283
0,283,1,0,1928,7770
4,458,10,0,6144,9231
17,358,0,3,3816,14161
17,11,0,3,351,1057
18,23,12,2,6731,10180
20,55,0,0,4440,6490
20,73,0,0,2843,4289
20,124,0,0,2218,3139
21,443,0,0,4646,6213
21,447,0,0,3108,4541
21,167,0,0,4745,6866
21,24,10,0,3785,5413
21,452,0,0,4238,5932
21,469,0,0,5122,6459
21,198,0,0,3933,5780
21,58,0,1,3009,4378
21,220,12,0,3291,4867
0,1,0,0,2021,8997
0,256,0,0,4516,15632
0,283,1,0,2480,10350
17,358,0,3,3082,14480
18,23,12,2,6565,12390
20,55,0,0,3744,4855
3,423,15,0,977,1959
3,430,1,2,863,1468
21,441,10,2,3471,5271
21,14,0,0,4262,5486
21,162,0,1,4214,6565
21,447,0,0,2979,4541
21,448,14,0,4674,6439
21,24,10,0,3534,5256
21,452,0,0,4067,6038
21,198,0,0,3908,5711
21,58,0,1,2978,4298
0,3,0,0,2680,5764
1,456,1,1,3496,8359
17,11,0,3,413,1228
18,23,16,2,996,3364
20,55,0,0,4300,5676
20,73,0,0,1061,1575
20,56,0,0,451,834
3,423,15,0,4240,9320
3,430,1,2,1673,2525
21,437,0,0,4653,6369
21,441,10,2,3617,5321
21,141,0,0,3691,5481
21,447,0,0,3220,4545
21,167,0,0,4383,5996
21,24,10,0,3765,5229
21,452,0,0,3740,5379
21,198,0,2,4068,5334
21,58,0,1,3157,4034
0,242,0,0,730,1672
0,283,1,0,2877,7610
17,9,0,3,5621,14875
20,55,0,0,4460,6441
20,94,0,2,1538,6801
21,443,0,0,4147,6248
21,165,0,0,2860,4759
21,446,10,0,5258,6888
21,447,0,0,3253,4542
21,58,0,1,2811,3992
0,0,0,0,2518,3639
0,454,1,0,2836,5236
17,358,0,3,3781,13928
19,44,13,1,8051,10943
20,55,0,0,2941,5964
21,443,0,0,4440,6147
21,165,0,0,2861,4556
21,452,0,0,4220,5280
23,236,0,0,2487,9151
0,3,0,0,2394,4301
1,456,1,0,5132,8036
17,358,0,3,894,2520
20,94,0,2,1841,7583
20,407,0,0,2049,4378
3,423,15,0,3799,7939
21,441,10,2,3774,5291
21,443,0,0,4607,5712
21,211,0,0,3481,5407
0,1,0,0,2226,7445
0,283,1,0,2412,9836
0,320,0,0,2277,5935
2,350,1,1,4648,7185
20,55,0,0,4058,5634
20,407,0,0,3010,4598
9,60,1,3,236,1093
10,61,13,0,11431,15854
21,441,10,2,3659,5735
21,444,0,1,4366,5609
21,165,0,0,2920,4537
21,446,10,0,4789,6622
21,447,0,0,3295,4800
21,24,10,0,3874,5541
21,452,0,0,4246,5225
21,198,0,2,3967,5650
21,58,0,1,3174,4018
0,1,0,0,2079,5269
1,342,0,0,1212,2933
2,457,1,3,5704,10253
4,458,10,0,6685,10013
17,11,0,3,391,967
18,23,16,1,2208,3579
18,23,16,0,1623,2832
18,23,16,2,1476,2284
18,23,10,1,3163,5104
18,23,10,0,2480,3949
18,23,10,2,2082,3037
18,23,11,1,7470,12296
18,23,11,0,6696,9338
18,23,11,2,5928,8491
20,55,0,0,3977,5531
20,54,0,2,3368,5468
3,423,15,0,4398,7806
21,441,10,2,3837,5611
21,141,0,0,4186,4755
21,162,0,1,4508,6118
21,447,0,0,3330,4531
21,24,10,0,3685,5283
21,452,0,0,4047,5589
21,469,0,0,5110,6831
21,198,0,2,4031,5461
21,58,0,1,3136,3883
21,220,12,0,3246,4488
0,1,0,0,2120,5842
0,283,1,0,2369,7595
0,320,0,0,2427,6312
17,358,0,3,4074,13078
18,23,11,1,7068,11468
18,23,12,1,7922,13360
18,23,12,0,6759,10755
18,23,12,2,7031,9270
20,55,0,0,4185,6620
20,94,0,2,1417,7649
20,124,0,0,2616,3603
20,30,13,1,1554,3208
3,423,15,0,4955,7660
21,441,10,2,3666,5867
21,141,0,0,3732,5104
21,443,0,0,4536,6217
21,447,0,0,3330,4729
21,24,10,0,4065,5445
21,469,0,0,4694,6318
21,198,0,2,4064,5457
0,1,0,0,2028,6767
0,283,1,0,2090,5041
20,55,0,0,4498,6654
20,403,0,0,2668,4146
21,441,10,2,3806,6017
21,443,0,0,4455,6361
21,447,0,0,3630,4654
21,188,10,0,4122,5910
21,452,0,0,4126,6070
0,454,1,0,3501,4878
0,1,0,0,2693,8029
0,283,1,0,2310,9172
0,450,0,0,2338,3939
0,320,0,0,2045,5450
4,458,10,0,5950,9499
17,11,0,3,639,1127
18,23,10,1,2818,4099
18,23,10,0,2452,3700
18,23,10,2,2022,2985
18,23,12,1,8437,12529
20,55,0,0,3505,6511
20,403,0,0,2563,3903
3,423,15,0,4111,8356
21,437,0,0,4716,6019
21,162,0,1,4780,6684
21,447,0,0,3373,4604
21,452,0,0,4396,6006
21,469,0,0,5160,7174
21,58,0,1,3039,4130
21,220,12,0,3341,4751
0,1,0,0,2232,6569
0,315,10,2,2666,6908
0,320,0,0,1680,6359
20,55,0,0,4839,6246
20,40,0,0,5106,6117
21,452,0,0,4148,6172
0,450,0,0,3112,5119
17,358,0,3,3577,14676
18,23,10,1,2641,5350
18,23,12,1,7451,12751
18,23,12,0,6942,9391
20,73,0,0,719,1121
21,441,10,2,4148,6516
21,141,0,0,3770,5336
21,446,10,0,5162,6946
21,452,0,0,4039,6096
21,198,0,2,3872,5347
21,470,1,0,2890,4394
21,58,0,1,3120,4367
0,3,0,0,2940,4667
0,268,0,2,2892,9483
0,283,1,0,2858,9268
1,456,1,1,6599,9065
4,17,15,0,9451,15434
17,358,0,3,4798,13643
18,23,10,1,3019,6035
18,23,11,1,8317,11899
18,23,11,0,6946,10083
18,23,12,0,6892,10138
18,23,12,2,6235,9194
3,62,0,0,8857,11105
21,437,0,0,4490,6284
21,441,10,2,4236,6576
21,141,0,0,4051,5276
21,165,0,0,3193,4651
21,447,0,0,3523,4632
21,452,0,0,4205,6065
21,58,0,1,3178,4065
0,268,0,2,3790,4944
0,283,1,0,2835,6156
2,350,1,1,5500,8195
4,458,16,0,8977,13961
20,403,0,0,2501,3654
3,423,15,0,4700,7605
21,441,10,2,4190,6103
21,467,0,0,3889,4816
21,447,0,0,3579,4771
21,167,0,0,4737,6547
21,24,10,0,4027,5580
21,452,0,0,4224,5399
21,469,0,0,5310,6659
21,198,0,2,3852,6155
21,58,0,1,2902,3935
0,1,0,0,5966,7473
0,268,0,2,2115,5774
1,456,1,0,4793,8956
2,350,1,1,5061,8226
17,358,0,3,2568,14081
20,40,0,0,3632,6690
20,94,0,2,1816,6482
3,416,1,2,2526,5841
21,441,10,2,4407,6382
21,447,0,0,3425,5009
21,24,10,0,3904,5555
21,452,0,0,3923,5481
21,469,0,0,5029,6950
21,198,0,2,3949,5641
23,57,0,0,4171,6806
0,49,0,2,1163,1718
0,268,0,2,2272,5094
20,403,0,0,2750,3913
3,423,15,0,4302,8103
21,441,10,2,4472,6412
21,141,0,0,4062,5103
21,162,0,1,4575,7107
21,447,0,0,3498,4928
21,24,10,0,4110,5520
21,469,0,0,1742,2393
21,198,0,2,4032,5894
21,470,1,0,3104,4532
21,205,10,0,4285,5981
23,57,0,0,3825,6943
0,1,0,0,2920,7224
0,268,0,2,2778,5109
0,283,1,0,2724,7434
4,458,10,0,6782,10375
17,358,0,3,3968,15401
17,13,0,3,644,2503
3,423,15,0,750,1172
21,442,0,1,5705,7451
21,446,10,0,5354,7670
21,167,0,0,4345,6525
21,452,0,0,4399,5639
21,469,0,0,4821,6969
21,58,0,1,3065,3959
5,471,0,1,1969,3229
0,3,0,0,3126,4718
0,283,1,0,2373,7735
0,320,0,0,2153,5170
17,358,0,3,4015,13929
23,57,0,0,4173,7463
0,450,0,0,2562,4551
1,456,1,0,3721,8884
17,358,0,3,3798,14326
3,416,1,2,2807,6624
3,423,15,0,4673,8342
10,61,13,2,10131,12164
21,162,0,1,4761,7364
21,165,0,0,3319,4525
21,447,0,0,3571,5084
21,452,0,0,4606,5823
21,58,0,1,3016,4268
0,3,0,0,2910,5945
0,250,0,0,5014,6604
0,268,0,2,2367,5246
0,283,1,0,3961,10555
17,358,0,3,4081,14589
19,44,13,1,7363,10107
21,443,0,0,4651,6468
21,165,0,0,3081,4505
